ID,Depth (cm),Density g/cm^3,210Pb (Bq/kg),sd(210Pb),Thickness (cm),Info
1,1,0.10009133513146,99.6860197491129,4.48587088871008,1,2020
3,3,0.101725773498201,200.087825344466,9.00395214050095,1,4
5,5,0.10547002720851,273.189899306823,12.2935454688071,1,
7,7,0.111160454408323,269.918910549958,12.1463509747481,1,
9,9,0.118548356123311,227.614505685786,10.2426527558604,1,
11,11,0.127310845597441,173.016587474637,7.78574643635866,1,
13,13,0.137064959993606,122.489253927777,5.51201642674998,1,
15,15,0.147384397707258,81.9163903399187,3.68623756529634,1,
17,17,0.157818149792156,47.861443787651,2.15376497044429,1,
19,19,0.167910211215491,31.4713473511999,1.416210630804,1,
21,21,0.177219510465981,23.8994019813832,1.07547308916224,1,
23,23,0.185339186495405,18.9185396820109,1,1,
25,25,0.191914370498749,16.7604202221407,1,1,
27,27,0.196657695383833,15.8365769407439,1,1,
28,28,0.198274226501799,14.5747068531993,1,1,
29,29,0.199361855092181,15.4600354421461,1,1,
30,30,0.19990866486854,14.8512894875218,1,1,
